MENSAJES;POLARIDAD
buen noch companer resolucion ejercici dar siguient cas verd habit japon fum parliament beb caf mascot cebr cas amarill habit norueg fum kools mascot zorr beb agu;positivo
sal vari tabl psr voy ir sub imag;positivo
manan seguir sub tabl psr ejercici;positivo
graci infinit compart tare;positivo
companer buen dia compart cad trabaj elabor va envi profesor trabaj final salud;positivo
hol parec si port coloc imag relacion asignatur;negativo
document registr fech 25 abril 1 may cumpl requer;positivo
8 may _ comp estar public acept public trabaj hech asi pod argument ide documentacion ser envi profesor despu consolid sol document sub el googl docs;negativo
document public coment agreg si pod ide cumpl estipul profesor;positivo
8 deb analiz document ahi 11 ajust document ser entreg;negativo
buen document expuest coment favor maner tiemp complet ide dem cuent googl driv dar el permis coment trabaj perfeccion el;positivo
document si dej comentari activ;positivo
agreg permis coment corre necesit cuent googl driv googl gmail pod hac posibl comentari import cumpl enfatiz profesor;positivo
ok cuent gmail lvrstrdgmailcom;positivo
ahi apoy;positivo
comentari ser agreg document bien;positivo
part cumpl envi link profesor acced grup pued coment document;positivo
ah respond profesor;positivo
11 reenviar aunqu mism link document actualiz sincroniz cambi efectuem asi comentari agreg document;positivo
ah ok voy manan tambi revis mas pat ahi envi tard ok;positivo
supuest list entonc;positivo
hol parec si port coloc imag relacion asignatur;negativo
salud estim puest integr grup cerr integr familiaric grup puest maner ahor bien plaz maxim segun planificacion 11 may requer amabil si necesari extend fech actual list cumpl requer document googl docs desarroll 3 companer public comentari envi corre mas link acces grup tambi link document googl docs;positivo
revis tres document pod ver concept med rendimient aun clar;negativo
med rendimient criteri dar exit comport agent;positivo
secuenci accion acuerd percepcion recib;positivo
acuard fin fin calific exit fracas;positivo
deb ser final des secuenci lleg trat ia;positivo
busc mejor camin exit;positivo
podri solicit mas ejempl concept clar ing tutor;positivo
cre necesari;negativo
si pued adelant materi aclar resolucion problem mediant busqued defin test objet;positivo
part entorn ver problem;positivo
revis informacion;positivo
actuador sensor parec tambi trat sol form ver actuador disposit sal sensor disposit entrad simplific termin mejor aplicacion comprension;positivo
washington quillupangui cambi nombr grup iaibim g1iaaa2016;positivo
washington quillupangui cambi nombr grup g1iaaa2016 g4iaaa2016;positivo
hol buen tard parec si port coloc relacion asignatur;negativo
trabaj;neutro
companer tambi pued inclu aplic movil abiert navegacion internet;positivo
consider interes descripcion estim companer propong especific detall adicional describ continuacion med rendimient terren explor report muestr recog analiz ambient aterrizaj actuador recolector muestr disposit recolector muestr disposit analisis muestr radiotransmisor;positivo
ambient podri cambi tip terren tendriam mart roc aren irregul;positivo
voy dar inici resolucion ejercici identific descripcion reas siguient agent;positivo
entorn trabajoreferent med rendimient deberi generaliz objet ques si hac maner tendriam detall extendern demasi;negativo
graci observacion companer tendr cuent;positivo
rendimient podri ser jueg segur mejor posibil gan;positivo
ambient propong canch futbol parquecall zon entren;positivo
sensor podri ir sensor proxim;positivo
si parec pued revis trabaj ver opcion companer;positivo
cronogram trabaj;positivo
graci estim sandy voy revis;positivo
graci sandy;positivo
voy continu descripcion ultim agent;positivo
hol javi esper ver dec coleg;positivo
hol companer buen dias consider apreci val;positivo
companer ambient entrar tambi clientesdisposit movil comput;negativo
client companer 2 opcion podri ser esper ver q dec javi;positivo
sugerent usuari final client;positivo
si companer ciert;positivo
ir mas especif razon;positivo
buen dias companer her javi ver elaboracion document usted secretari;negativo
companer adjunt trabaj revis aport hac grupal;positivo
conf companer invit profesor;negativo
graci inter companer envi link grup profesor;positivo
buen noch companer invit interactu grup comentari sugerent hac trabaj mejor maner sol calific trabaj si tambi har heteroevaluacion realiz profesor autoevaluacion cad integr hac evaluacion personal coevaluacion evaluacion integr grup;positivo
companer hac trabaj ejercici 25 libr compartanl mart proxim seman pod comprob argument refut respuest cad trabaj maner estari cumpl numeral 4 trabaj colabor;positivo
ok revis document adjunt nuev graci;positivo
estim companer esper segu avanz trabaj recuerd manan plaz limit compart segu numeral 4 trabaj colabor si algun dud haganl sab grup despej el tambi inform eleg secretarioalgun ide eleg el;positivo
rest pod ser val depend disen agent nivel profund quier dar el agent;positivo
graci comentari recarg optim bateri refier recarg el complet vez agot consum;positivo
amig seri funcion cam web agent teorem matemat;positivo
medi reconoc ejercici pued aconsej uso teorem seri traductor web googl reconoc idiom traduc moment cas evalu ejercici medi variabl conteng pued dar teorem aplic salud;positivo
ose reconoc problem ok;positivo
6 8 pm dispon dias;positivo
acuerd chat cre pod noch;positivo
estar acuerd realiz hoy chat 6 7 pm;positivo
6 bien aprovech eleg secretari encarg ir cre document trabaj colabor aport;positivo
si 6 7;positivo
inform falt companer grup nunc hac present envi vari corre respondi notificar profesor;neutro
buen entonc qued 6 pm;positivo
ok alexand favor pon sol estil letr format apa adjunt referent;positivo
list tard sub archiv modific;positivo
escribi mail;positivo
list del nom;positivo
cambi ultim moment document deb sub secretari alexand deb entrar plataform brightspac envi apart dec trabaj colabor;positivo
si envi confirm;positivo
subi archiv plaz termin avis cualqui cos;positivo
ok companer bien;positivo
graci companer motiv trabaj pud leer comunic;positivo
companer favor olvid hac autoevaluacion coevaluacion coevaluacion deb ser cad integr trabaj colabor sub el brightspac 2300 pm hoy si algun dud avis;positivo
encontr list companer envi salud;positivo
mas deb aport verd perd;negativo
plir sistem ayud estudi tom control gestion propi aprendizaj dec conform etap basic buscador informacion editor informacion relacion person;positivo
habl plir entend mejor maner entorn personal aprendizaj referim maner cad entend aprend context aprend asi aprendem hac cos aprendem aprendem pod compart conoc plir bas manten 3 herramient cual 1 leer absorb conoc 2 modific reflexion conoc 3 relacion aprend compart conoc;positivo
companer salud disculp pagin ejercici xq encuentr usted dec pag 654 rommel constant;positivo
mil disculp cre 65;positivo
rommel constant graciasss sabi 25;positivo
rommel constant entonc ayud mas segu complet;positivo
estar public trabaj patrici person contribu falt companer;positivo
unif document ver sub 30min;positivo
pngas contact patrici sandoval secretari realiz inform final;positivo
patrici sandoval salud companer ped mil disculp integr trabaj seri buen utiliz googl docs revis trabaj lin pod segu avanz falt;positivo
patrici sandoval rommel constant companer segu complet trabaj mism segu avanz;positivo
hol rommel constant gust tare;negativo
empec revision 2 primer items propon maestr manej signific reas resolv maner personal ejercici 25 pagin 654 libr bas coment signific reas ten ide unic grup;positivo
si equivoc favor corrijanm;positivo
cronogram trabaj material dar maestr pod segu el organizarn mejor;positivo
cuerd are pensari deb trat maner asincronic;positivo
salud companer entonc inici resolv ejercici;positivo
si giovanny cholc companer rommel constant propon coment signific rea;positivo
companer buen dias favor aprovechem feri raeliz tare;positivo
giovanny indic corre envi el dos document ahor trabaj;positivo
ok cumpl requisit document heteroevaluacion import bibliografi;positivo
document envi profesor descarg el plataform enviar corre ensegu;positivo
patrici sandoval favor respond si hac sol document envi coj noch manan;positivo
rommel acord integr aport sol document tare pod hac el manan revis sub integr aport evit duplic conten organiz maner jerarquiz buen redaccion ortografi;neutro
giovanny cholc document va hac patrici sandoval secretari document subir trabaj grup usted sub ningun trabaj sol grup;positivo
recom lea indic maestr caer error;positivo
cre deb realiz aport public grup maestr consider aportacion trabaj manan patrici sandoval elebor sol document recog criteri;positivo
seri import pon port relacion tem asignatur;negativo
rommel salud dispuest cumpl trabaj grup pod mir descripcion reas solicit;positivo
document adjunt envi maestr;positivo
rommel pod descarg document dispon trabaj colaborat 1pdf;positivo
rommel reenvi aport trabaj colabor 1;positivo
sub archiv companer verific;positivo
pod har complement aport q parec ver dec maestr;positivo
sol esxist criteri dos pod esper integr mas manan envi trabaj;positivo
acuerd document final inclu bibliografi;positivo
sugier basarn matriz increment conten lueg revis pat duplic asim descart posibl error;positivo
mio si cre;positivo
ped tod maner cit;positivo
si import acuerd document heteroevaluacion pod fung secretari si particip;positivo
acuerd patrici sandoval usted hac papel secretari;positivo
consolidar aport dos matriz manan manan envi revision final sub profesor favor confirm;positivo
confirm patrici sandoval graci colaboracion ser valios;positivo
companer grup 5 remit usted via email document sistematiz aport present manan hoy;positivo
companer grup 5 inform procedi sub document trabaj grup acuerd funcion secretari;positivo
graci patrici;positivo
cvompaner coevaluacion hac cad dem companer;positivo
companer favor continu coevaluacion;neutro
rommel algun indicacion coevaluacion pod sub pdf valoracion usted cholc campu byron giovanny link habilit plataform usted remit evaluacion si favor confirm proced sub dia hoy;positivo
rommel algun indicacion coevaluacion pod sub pdf valoracion usted giovanny link habilit plataform usted remit evaluacion si favor confirm proced;positivo
q mas q colabor favor;positivo
hol list trabaj esper instruccion;positivo
hol comp manan empez;positivo
buen dias companer plac cont usted realiz trabaj grup ahor si empec trabaj distribuirn trabaj agradec respuest;positivo
evelyn salg optim;positivo
gust ayud adem va va ir bien lacolaboracion ser excelent;positivo
d gran ayud companer;positivo
perfect tomar cuent realizacion trabaj final;positivo
companer qued tod aport pod hac fech limit qued l dia viern 31 octubr 800 pm pod analiz bien informacion tom part mas import cad trabaj realiz asi conform sol graci chic atencion jeanin carden villacr andr ballad;positivo
ok companer;positivo
jeanin villacr decid;positivo
graci amig voy revis;positivo
chevr companer ten apoy mutu ir bien aport previst cumpl;positivo
seri import pon port relacion tem asignatur;negativo
graci licenci recomendacion proced cambi el;positivo
si realid imag cuent deb dar ide fin grup cas seri aprend mas component educ computacion exte graci enorm lid evelyn salg llev cab buen trabaj;positivo
graci usted companer echo gran trabaj graci colaboracion excelent grup;positivo
si much graci buen trabaj evelyn;positivo
clau argud buen tard companer vist q reci incorpor grup inform cad ir mand aportacion tem requer licenci loa pas segu realiz encabez pie pagin agradec aport l tem requer envi companer jackasssandyrhotmailcom corre q mencion favor si pued ayudan envi l dia manan graci incorpor tu;positivo
clar envi part;positivo
buen much graci aportacion amig;positivo
bien companer parec respet bien tiemp asign;positivo
jeanin villacr decid;positivo
chic sabi exist 4 form divers facil insert encabez pie pagin pues sabi asi compart sit eswikihowcom;positivo
cad dia aprend mas companer graci aport;positivo
companer agradec aport uneexcelent grup;positivo
buen dias companer inform trabaj casi termin pod ver acab previst trabaj excelent grup graci aport lleg casi final trabaj jeanin carden villacr andr balladaresclau argud felicit chic pasit pequen termin l trabaj;positivo
verd falt tan sol verific ultir detall sub eva anteman graci aport extrem import;positivo
buen companer recomendari ahor puert present trabaj grupal dem tiemp realiz trabaj evaluacion cohevaluacion mism deb sub eva 8 noviembr suert;positivo
companer andr ballad envi ped gentil hac lleg corre trabaj ple corre mariuxi261982hotmailcom;positivo
jeanin villacr satisfech;positivo
asi buen trabaj;positivo
si companer buen grup pon felic chic jaj ahor si estud larg jajaj;positivo
hola companer jejej salud tod;positivo
buen dias companer;positivo
hol estim va;positivo
bien graci aqui viend trabaj toc hac;positivo
claro vall agarr ultim minut diganm nom q si ayud ajajj;positivo
jj si confi entreg ultim pz ay k hac plir asi ay esper dem companer;positivo
entorn trabaj conform med rendimient entorn actuador sensor agent anterior resum acronim conocim reas rendimient entorn actuador sensor;positivo
compart aport desarroll ejercici 25 text bas;positivo
refier part articul explor autonom;positivo
clar pas quis resum form mas general basic dec mecan movimient refier mecan permit explor autonom mart mov el podri ser robot tip carr utiliz nas explor podri ser robot pequen tip dron simil;positivo
list companer grup ir trabaj particip har mediant mur ningun medi ser val proxim hor determin hac cad premur tiemp tambi pon fech limit graci salud;positivo
hol companer nuev facebook reci cre;negativo
ok buen esper par hor activ ocmpaner primer activ uya venc hoy mism;negativo
googl docs;negativo
buen companer qued dos hor sub document googl docs primer fech top presentacion proxim post informar tar cad integr grup tod comunicacion adel ser medi referent participacion much graci;positivo
companer comparar document;positivo
hoy bien tardecit fa qeu termin trabaj medi tard;positivo
parec 9 pm;neutro
companer 21h00 viern 6 may reaizac trabaj grupal;positivo
list graci companer;positivo
necesit permis ver el graci;positivo
segun investig companer explor autonom mart asistent matemat demostracion teorem opin pon med rendimient va actuador esper opinion graci;positivo
interaccion trabaj final;positivo
soray delg pregunt acerc part creacion document googl docs experient trabaj realiz algun respuest tutor;positivo
recib respuest tutor;negativo
si mal recuerd lun tutori asi manan;positivo
si sayr mism pens;positivo
buen segun punt vist trabaj list si revis sab si falt;positivo
trabaj termin envi el el11 may cas manan pregunt el tutor document experient verd clar;positivo
revis parec complet;positivo
si import hac el lun hac quier pregunt;positivo
entonc ejercici complet trabaj;positivo
si complet unic dar sab si deb hac diari form individual grup;positivo
si entonc pregunt manan;positivo
dec juan respect hinch deb ser part entorn afect robot opin sayr leon;positivo
manan pod hac el;positivo
buen deci hinch part entorn;positivo
entonc hac problem pregunt tutor;positivo
hol chic;positivo
cas palabr mas indic referirn person encontr carg robot jueg deb hab dos equip;positivo
tambi pens med rendimient deb expres diferent;positivo
si ademasel robot u form va ten interactu hinch razon ser robot;positivo
ejempl nlug met gol deb escrib nuer gol;positivo
cos juan utpl numer quis dec lug nuer;positivo
gust robot;positivo
vicion mas alpli;positivo
ampli;neutro
numer;positivo
jejej;positivo
numer;positivo
medibl;positivo
tambi resistent gan part;positivo
pued ser tiemp jueg robot;positivo
verd parec deb pon numer gol hac el dej form ambigu;positivo
actuador;positivo
segur verv corr pat;positivo
posblement sol deb inclu realiz accion;positivo
segun leer dec med rendimient criteri objet med exit conduct agent;positivo
bras piern;positivo
correct;positivo
necesari gan part deb ten resistent gan pierd;positivo
incu deb ser susept med;positivo
vez result mas clar medibl pon numer gol;positivo
correct;positivo
lug investig actuador herramient element efectu trabaj accion realiz;positivo
asi necesari loq ue deb realiz robot;positivo
acuerd;positivo
pregunt tutor;positivo
aunqu ejempl taxist med rendimient dec segur confiabl comod mid;positivo
razon ver convenient pon numer gol;positivo
rendimient deb met gol;positivo
necesari pon escal;positivo
necesari deb ten numer gol realiz;positivo
ejempl coniabl alto;positivo
confiabl;positivo
juan utpl;positivo
confiabl;positivo
tambi;positivo
seri absurd program robat confiabl alto medi baj;positivo
dec sayr parec correct maximizacion objet seri met gol;positivo
gol mejor numer gol;positivo
revis;positivo
juan robot necesari meter numer gol asign puest tambi deb robot porteri objet ser proteg arco;positivo
intent met numer gol vez termin part frac rendimient;positivo
rendimient deb ser precis ser program;positivo
cas deberia aclar exstir dos mod operacion robot;positivo
objet principal jueg hac major cantid gol;positivo
cas robot arquer;positivo
numer gol tap;positivo
tambi form arquer evalu;positivo
objet cad robot met gol juan utpl mientr mas robot intent mayor ser cantid gol met;positivo
objet buscari robot;positivo
refer equip sin sol;positivo
rendimient reflej nuemr gol;positivo
si juan utpl objet equip robot;positivo
dec mientr mas robot intent met gol ser numer gol;positivo
si deberi pon nuemr gol;positivo
si objet equip hac mas gol robot tambi;positivo
indic robot deb actu sol;positivo
sig acuerd sayr objet principal robot met gol asi robot siempr estar enfoc clar deb hac clar segu regl jueg asi pued ser mas precis dec met gol objet;positivo
mism dec part deb met 4 gol vas logr tambi jugador arquer cumplir objet;positivo
correct;positivo
exact import robot clar objet;positivo
mism pas program robot mir juan utpl cas si program met ciert cantid gol ser unic intent har robot ser segur met razon dec;positivo
cas cumpliri objet fall robot;positivo
sin fall programacin;positivo
objet mal plant;positivo
espesific robot deb hac major cantid gol posibl;positivo
jajajajjaj juan utpl clar exist razon cual podr alcanz objet;positivo
canid medibl;positivo
part;positivo
si robot logr objet;positivo
sgnific si;positivo
program robot met gol infinit vez impos human pens posicon pon el acuerd estir coloc jugador arquer;positivo
libr dec correct aquel permit agent obten result mejor insist med rendimient objet cas met gol razon ser robot;positivo
deb disen aprend;positivo
aqui aplic inteligent artificial;positivo
agent;positivo
cas robot pued aprend;positivo
si juan utpl pre dec infinit igual ejempl taxist;positivo
logr objeiv impos;positivo
entendi taxist;positivo
talvez;positivo
juan utpl deberi leer nuev libr des cuent refier exact ejempl taxist;positivo
tem objet entrar contradiccion;positivo
libr bas ejempl taxist juan utpl;positivo
si lei moment vist;positivo
entend refi;positivo
pregunt;positivo
asi probabil robot taxist cuent deb realiz sugun condicion entorn resultari;positivo
tambi robot jug;positivo
propon dej;positivo
propong argument;positivo
sol met gol;positivo
insist met gol objet cas pued impon numer gol;positivo
si acuerd numer exact;positivo
pued caer el levant el aprend import robot sab deb met gol;positivo
si objet met mas gol adversari;positivo
si deb med;positivo
buen;positivo
dos punt vist dos robot;positivo
pod ser diferent;positivo
jejej;positivo
mio si seri numer goels;positivo
jejejej;positivo
si logr objet juan utpl;positivo
razon obvi;positivo
tedr evalu motiv busc opcion;positivo
intent el nuev;positivo
aprend;positivo
refier;positivo
exact;positivo
acuerd;positivo
si refer esa mism;positivo
ok sig;positivo
revis;positivo
opin algun cambi falt;positivo
gustari tambi coloqu com compr libr virtual;positivo
ejempl;positivo
maquin realiz operacion compr libr;positivo
import tiend vend implement;positivo
servici web;positivo
permit maquin consum servici;positivo
pod estandarisarc com espesi;positivo
cual convertiri actuador sistem expert;positivo
opin;positivo
pas estim entend rea hac definicion general entorn trabaj ejempl ver com tan especif sin mas bien esper hac nivel general;positivo
si pud com general podri ser interaccion bas dat busqued semantic internet;positivo
generaliz pus com;positivo
algon represent posibil maquin tendri dispon;positivo
recurs cual pued acced;positivo
ahhh entendi part actuador lei trabaj pens queri pon com;positivo
si;positivo
pens si seri part actuador;positivo
cre sayr enoj jej;positivo
cre;positivo
bromit nom;positivo
ciert feliz dia chic;positivo
esper ayan festej bien;positivo
graci;neutro
jajajaj trnaquil retir yo moment;positivo
coment trabaj compart edit cualqu;positivo
jejej;positivo
si import;positivo
llev control;positivo
camp deb retir;positivo
buen pon acuerd aqui edit el acuerd opin;positivo
voy hac princes duerm;positivo
algun cos mas necesit pon;positivo
rest perect;positivo
perecto;positivo
perfect;positivo
buen descanc compit;positivo
ok list entonc manan completar result lueg respuest tutor;positivo
voy intent conect yo tutor manan;positivo
list companer entonc compromet averigu manan diari qued;positivo
much graci soray delg;positivo
manan;positivo
si estim sayr juan buen noch companer manan;positivo
anan;positivo
manan;positivo
par hoy present;negativo
favor present fech design companer perdonn er reci salg trabaj;positivo
estim companer respuest tutor inquietud pon textual salud diari personal personal grupal ahor mism coloc espaci sub cordial salud duni in;positivo
list companer hor medi aproxim proced envi trabaj cualqui dud favor haganmel sab hac el graci;positivo
estim companer olvid compart link trabaj individual tutor igual maner diari personal pued proced calificacion graci buen dia;positivo
compart mism graci sayr;positivo
estim olvid permit acces tutor revision diari personal trabaj individual graci buen noch;positivo
favor coloqu port fot represent asignatur;negativo
si ahor tard teni planific hac;positivo
moment companer q comunic esper q hac ahor;positivo
felicit lind port;positivo
much graci respect companer comunic pod hac;negativo
maytt problem trabaj dos;positivo
much graci;positivo
culminacion trabaj colabor;positivo
genial;positivo
buen dia companer continu aport indic item 5 6 hoy toc organiz dialog elabor negoci realizacion tare 513 ide propon qued registr medi evident coloc el diari cuy entreg hoy;positivo
acuerd archiv final sub el googl driv sub 3 diari entreg final deb;positivo
ok;positivo
companer observacion document final hac falt coloc nombr complet cad integr grup ped document siguient editel vuelval sub notifiqu docent culmin;negativo
diar manan empez plaz avis ingenier ahi modif vuelv sub;positivo
mio juli robert orteg sempertegui;positivo
conf companer;negativo
envi nombr complet joffr patrici verdezot borj;positivo
supon lid grup deb envi yo link googl driv pued revis solucion person interven solucion puzzl si hac entend corre dijarautpleduec extension pas 2228 salud;negativo
subir moment;positivo
nombr juli robert orteg sempertegui;negativo
graci victor daniel;positivo
subi tare especif tutor respect corre electron dijarautpleduec nombr 3 particip;positivo
graci victor;positivo
graci;positivo
mil graci victor daniel;positivo
buen noch companer acab unir grup pod ver aport siguient link;positivo
georg revis trabaj punt b refer visualiz result refer comput cualqui medi;positivo
si realid podri ser cualqui equip informat orden telefon tabl etc;positivo
recopil trabaj aport rest miembr grup favor dej chat aqui comentari;positivo
companer revis archiv cre aport cad simil complement si unic propong discut respuest emit georg agent robot jug futbol med rendimient coloc gan part segun libr indic criteri determin exit comport agent pregunt si gan part criteri exit suced si agent perd part;positivo
estim tutor compart document despu aport realiz cad integr grup usted podr revis trabaj final link arrib indic;positivo
estim tutor compart document despu aport realiz cad integr grup usted podr revis trabaj final link abaj indic consens decid trabaj trabaj sub companer georg apol gallard;positivo
pregunt companer algui usted not trabaj colabor segun profesor realiz dich trabaj;negativo
segun analisis seri respuest;positivo
graci infinit compart tare;positivo
gggg hol companer graci tiemp;positivo
companer trabaj grup sup complic peor feri jajajajaj cas esper pod pon acuerd mas rap posibl propong reunam via chat skype telefon ciert hor repart trabaj buen ide salud;negativo
exact esper companer rosit respond unir grup empez;negativo
companer dispon libr pod sub ejercici resolv lueg sac concluison graci;negativo
resolv tambi public contact companer;positivo
companer confundirn ir public cad item ir dar criteri;positivo
sub solucion ir compar format archiv final;positivo
ok companer;positivo
companer dej aport lideres grup recoj aport posit desc tu negat;positivo
hol companer manan dia final sub archiv resolucion ejercici sub archiv form grupal;positivo
companer hac usted consolid 3 plant envi;positivo
olvid autocalific;positivo
19 minim ns merecem jajajaj;positivo
minim jejejej;positivo
envi chic;positivo
list companer envi autoevaluacion coevaluacion cad salud;positivo
bien salud tambi;positivo
adjunt plir;positivo
seri import pon port relacion tem asignatur;negativo
buen dias ser port pued ten algun imag hac alusion asignatur;negativo
list tare lueg vari dias luch;positivo
sup bien comp falt comentari tare dia hoy termin public trabaj pued coment;positivo
parec bien resolv tar desgl problem lleg solucion sup clar detall;positivo
hol alex vallej tiemp limit present tare apli lun 25 termin organiz activ present hoy mism entreg tutor;positivo
buen dia edison avil gaibor graci gestion;positivo
hol edison buen noch igual alex quer dec el mil graci;positivo
tare empec si metod utiliz llev algun tiemp pod resolv tare empec utiliz agent bas conoc simil metod utiliz mund wumpus intific primer cas lueg peson habit;positivo
jajaj parec sencill lueg complic lueg hac emocion lueg parec tan obvi entreten asi van sal respuest;positivo
tare larg necesit much concentracion realid utiliz utiliz agent transcurs desarroll ejercici deb conscient parametr realiz conjugacion mism altern mejor entend hac map conceptual armar rompecabez;positivo
tambi pareci mejor form ir desarm condicion cuadr map unic maner pud ir pas pas identific cas color cigarrill etc;positivo
pens nunc encontrari zebr;positivo
ayud ir desarm condicion final punt 5 6 ayud conclu tare;positivo
ejercici resolv 2 bimestr;neutro
cas 1 seri cas norueg cas 2 color azul ingles viv cas roj cas verd derech cas color marfil cas 1 pued ser azul roj tampoc verd marfil casa1 color amarill;positivo
informacion caball fum kools primer analisis qued asi;positivo
segund analisis quedari asi;positivo
tabl compar dos;positivo
luis carl pregunt escrit companer unar grup;negativo
escribi dos sol pol mgb const grup respond uni grup;negativo
carl luis trabaj asi adel;positivo
ok ing graci;positivo
continu analisis tabl ahor qued asi;positivo
sab beb agu cas 1 unic aun beb;positivo
segu llen dupl falt cuadr;positivo
respuest zebr viv cas 1 beb agu casa1;positivo
deb coment experient personal realiz ejercici;positivo
part principi pareci sup complic lueg ir encaj instruccion hac mas facil;positivo
termin ped ejercici sab beb agu zebr;positivo
termin trabaj deb dividirn trabaj hac secretari lid funcion dese hac;positivo
bien carl luis sol pequen inquietud pon port hac alusion signatur ser posibl;negativo
list ing pus fot port;positivo
buen noch hoy pon acuerd sub solucion definit;positivo
hol buen dias gust port felicit;positivo
ide principal lueg verific form solucion trabaj 2 tabl funcion nacional funcion cas;positivo
lueg repet vez asercion ir complet cotej 2 tabl esper comentari;positivo
bien alvar;positivo
si estim docent verd llam atencion adapt problem problem psr asi escrib algoritm mas toc repas vez problem dar el cuent suposicion encierr asercion problem cas pareceri complej implement el practic aqui conoc teoric sol;positivo
revis l documentcion correct ped problem propuest;positivo
hol bienven grup seri buen envi fot relacion trabaj escog port grup;positivo
felicit port creativ;positivo
companer parec si driv cre part individual compart archiv diari pued ser libr articul etc salud;positivo
bien mari motiv companer equip;positivo
amig compart libr interes circul librement red millonari instantane esper util disfrut;positivo
hol companer sub libr mba personal todavi leo recomend animens compart segur ser util;positivo
companer necesari vay platic experient trabaj favor elabor driv sob informacion pod ser fot archiv pod compart;positivo
mari buen dias graci motivacion;positivo
companer hoy comparti curs ingles buen driv recom favor medi cont experient trabaj archiv sub si habi trabaj herramient tan facil dificil hac necesit manan elabor document trabaj;positivo
buen noch companer verd nunc habi trabaj driv parec buen pod compart document libros interes esper lean document subi reflexion ayud vid;positivo
ver buen reflexion subist excelent trabaj;positivo
excelent andre favor compart carpet cre pod ver el;positivo
excelent shirley definit bendec viv hermos pais deberi explot mas potencial turist buen fot;positivo
cre nuev driv ir ten acces corre c2baa2016gmailcom clav mashvi2016;positivo
nuev corre sob sub cad lueg archiv word cad escrib experient sobretod conclusion herramient parec;positivo
corre nombr grup clav dos primer letr nombr orden alfabet;positivo
hol mmari mil graci compat archiv interes;positivo
companer condens tod informacion sub driv grup separ vari carpet vay sub orden archiv carpet experient sub siguient pas resum tres archiv hac sol ser entregu ir falt hac excelent trabaj graci colaboracion;positivo
companer unid archiv sub observ public medi shirley secretari grup favor hac caratul comunic finalizacion trabaj tutor archiv llam trabaj entreg much graci colaboracion;positivo
mari mil graci interaccion;positivo
much graci consult hac lleg trabaj colabor compart trav driv;positivo
hol mari trabaj colabor deb compart googl driv;positivo
hol perfect compart usted much graci apoy;positivo
graci companerossu tu;positivo
bien;positivo
hol buen noch estim companer ofrec disculp retras present trabajoalgun pendient escritol coment ciud mant sab inconvenient fin aqui conform grup numer 3en des trabaj usted equipoh dec cre etsa noch grup inici practic numer 9 mananacom sab unic medi comunicacion pod usar trabaj esper pront aport deseandol exit desp;neutro
ok noch subir document apurarn mism toc hac evalu autoevalu;positivo
buen tard aqui dej tareaesper opinion trabaj pront compar eleg trabaj present asi tambi pod mencion grad dificult vz experiment algun items;positivo
hol companer buen dial invit noch utiliz herraminet chat pagin noch 900 pmpar coment relacion trabaj computacionl esper exit;positivo
companer;neutro
pen pud sub diari evaluacion viaj;negativo
revision tem entorn personal aprendizaj personal learning environment plir encontr siguient premis bas elabor concept;positivo
buen dias dej aport trabaj acerc concept personal aple;positivo
compart disen prelimin plir;positivo
plir companer;positivo
plir;positivo
javi favor envi yo document word aport conceptual trabaj grup;positivo
javi archiv posibl abrir el favor reenvi el format pdf;negativo
hol companer mil disculp ayer ver mensaj adjunt archiv requer;positivo
graci favor revis primer version trabaj grup;positivo
hol comp reci ver mensaj mil disculp revis;negativo
comp buen trabaj equip concuerd document;positivo
companer envi via corre utpl brightspac primer version document grup favor revis el indic cambi consider convenient sub el manan final;positivo
companer trabaj grup envi oportun remiti corre confirmacion recepcion mism graci colaboracion;positivo
much graci;positivo
much graci companer;positivo
comparti imag portal;positivo
list propong imag;positivo
cieert viern habl companer fabi chavarre uni grup coment trabaj campament lejan francisc orellan;positivo
difult ten acces internet;negativo
pued ver imag companerit;negativo
part disen port deb hac inform diari experient items 1 2 3 sub el dia hoy;positivo
format sub inform diari;neutro
medi eva aqui;positivo
inform diari eva;neutro
respect comunicacion grup trabaj realiz;positivo
va resolucion ejercici restriccion mar;positivo
jejej;positivo
bien dec acertij einstein sol 2 person pod logr jajaj;positivo
pues si realid complej si pod;positivo
companer envi el link facebook prof;positivo
si envi corre inclu inform diari;positivo
sub fot port acab tiemp;positivo
pon confirm si aport;positivo
companer ningun aport;positivo
part;positivo
resolucion problem maner mas sencill hac resolv primer indic variabl seguid domini lueg restriccion complej plant respect port parec bien;positivo
compart format consideracion inform diari activ;positivo
respect disen port consider deb envi aport public dentr estand facebook deb ser taman 851x315 px;positivo
envi dos propuest med;positivo
plen graci;positivo
elen mil graci compart solucion ejercici opin rest grup resolv tambi tare dialog manteng equip precis clar variabl domini restriccion facilit ir constru tabl valor indic relacion variabl;positivo
graci porfey ide aclar ide desarroll ejercici;positivo
segu usted defin restriccion conclu definicion restriccion hac tabl valor column pong numer cas fil principal caracterist nacional color beb marc cigarr animal;positivo
graci aport companer si mism solucion unic cambi cas verd 4 marfil numer 5 coment restriccion dec siguient cas verd inmediat derech derech cas color marfil si restriccion dec sol cas verd inmediat derech cas color marfil clar primer va color marfil lueg verd dad dec derech refer el perspect dad iri primer verd lueg marfil prest confusion;positivo
salud cordial companer elen concuerd solucion;positivo
